protocol,candidate_id,model_name,model_type,stage,metric,mean,std,ci95_low,ci95_high
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),test,AUROC,0.9540289855072464,0.0092970760332658,0.942485140908177,0.9655728301063156
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),test,AUPRC,0.8903735748972526,0.0159468041484537,0.870573002299711,0.910174147494794
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),test,Accuracy,0.9244897959183674,0.0154752560082684,0.905274727669914,0.943704864166821
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),test,F1,0.8320789288231148,0.0370099484047865,0.7861250083135124,0.8780328493327173
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),test,MCC,0.7847583471071637,0.0457533073961938,0.7279481125145597,0.8415685816997678
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),valid,AUROC,0.8543616823423136,0.05206338066298,0.7897164569483132,0.919006907736314
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),valid,AUPRC,0.6942972844700103,0.0931839689421074,0.5785941050248575,0.810000463915163
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),valid,Accuracy,0.8292308680020545,0.0266394581352798,0.7961536119038211,0.8623081241002879
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),valid,F1,0.5579335105847282,0.1012831750040327,0.432173838558449,0.6836931826110073
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),valid,MCC,0.478902210678296,0.0954150858933083,0.360428733639055,0.597375687717537
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),test,AUROC,0.918782608695652,0.0096795972010397,0.9067638013340072,0.930801416057297
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),test,AUPRC,0.7864875739240562,0.0170055692095582,0.7653723708675852,0.8076027769805272
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),test,Accuracy,0.9,0.0167670170664846,0.8791809985512778,0.9208190014487222
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),test,F1,0.764299474395901,0.0463768443933521,0.7067150163623774,0.8218839324294245
scaffold,svm__ecfp_2048_rdkit2d_normalized_200,SVM (RBF),ECFP4 (2048-bit) + RDKit2D (200-d),test,MCC,0.7087035662289619,0.051649490261985,0.6445722536450791,0.7728348788128447
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),valid,AUROC,0.847836893565014,0.0569719209617338,0.7770969103983186,0.9185768767317094
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),valid,AUPRC,0.6842058942785988,0.1030772485056827,0.5562185857751895,0.8121932027820081
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),valid,Accuracy,0.8280945043656909,0.0264195164798567,0.7952903419027016,0.8608986668286801
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),valid,F1,0.5518138257478697,0.0968286251816424,0.4315852078642577,0.6720424436314818
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),valid,MCC,0.4742112490665752,0.092303747311867,0.3596010091301322,0.5888214890030181
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),test,AUROC,0.916,0.0108345329179284,0.9025471505384548,0.9294528494615454
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),test,AUPRC,0.7890751073115371,0.016520154755545,0.768562625906822,0.8095875887162521
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),test,Accuracy,0.8979591836734693,0.0190900887080303,0.8742557078021918,0.9216626595447468
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),test,F1,0.7516879021162988,0.0635352167616692,0.6727985108452617,0.8305772933873359
scaffold,svm__ecfp_2048,SVM (RBF),ECFP4 (2048-bit),test,MCC,0.7015348354250923,0.0621365057427554,0.6243821732701312,0.7786874975800534
