screen_id,global_rank,canonical_smiles,sources,source_count,source_row_count,rf_antagonistic_score,lightgbm_antagonistic_score,tabpfn_antagonistic_score,rf_pred_label,tabpfn_pred_label,lightgbm_pred_label,consensus_all_antagonistic,consensus_all_non_antagonistic,consensus_vote_count,consensus_mean_score,consensus_min_score,consensus_max_score,model_score_range
screen_7c18a669c51e7817ee0b,59,COC(=O)CCC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9683333333333334,0.9997857010727236,0.98985183,1,1,1,1,0,3,0.9859902889319628,0.9683333333333334,0.9997857010727236,0.0314523677393902
screen_c0fef8a97ee956990803,60,CN(C)CC[C@H](O)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9783333333333334,0.9983915362859079,0.9810618,1,1,1,1,0,3,0.9859288952782522,0.9783333333333334,0.9983915362859079,0.020058202952574544
screen_c5aba00bd42ec922d4d7,61,CC(CO)(CO)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCC1,gpcrdb,1,1,0.9734847802568012,0.9999605480756567,0.9842398,1,1,1,1,0,3,0.9858950483327025,0.9734847802568012,0.9999605480756567,0.026475767818855522
screen_8aeeb5f6b58dc9cec7f9,62,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)[C@@H](O)Cc2ccccc2)c1,gpcrdb,1,1,0.965,0.9985842042168565,0.9933346,1,1,1,1,0,3,0.9856395985351862,0.965,0.9985842042168565,0.033584204216856484
screen_ab60f70f1ba875bee182,63,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC23CC4CC(CC(C4)C2)C3)C(=O)CO)c1,gpcrdb,1,1,0.981317040054311,0.9999954556864022,0.97557104,1,1,1,1,0,3,0.9856278440265065,0.9755710363388062,0.9999954556864022,0.024424419347596094
screen_956a7adf72f3ed98eab7,64,C[C@H](O)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCC1,gpcrdb,1,1,0.9784847802568012,0.9999761515248594,0.9778632,1,1,1,1,0,3,0.9854413747799832,0.9778631925582886,0.9999761515248594,0.02211295896657084
screen_d7e3948c5d1ea4ba56cf,65,C[C@H](O)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCC(F)(F)CC1,gpcrdb,1,1,0.9697961904761905,0.9999955146168085,0.9851636,1,1,1,1,0,3,0.9849851113826741,0.9697961904761905,0.9999955146168085,0.03019932414061799
screen_4dae4a56ef33f930899d,66,CC(C)(C)NCC[C@H](O)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9816666666666667,0.9998609130153159,0.9726414,1,1,1,1,0,3,0.9847229960418112,0.9726414084434509,0.9998609130153159,0.02721950457186495
screen_08254b3bd3c3d4324c10,67,CC(C)C[C@H](O)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.975,0.9999703153170393,0.9783813,1,1,1,1,0,3,0.9844505304825719,0.975,0.9999703153170393,0.024970315317039304
screen_3c2c52ece073afebb725,68,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(Cc2ccccc2)C(=O)[C@H](O)CO)c1,gpcrdb,1,1,0.9633333333333334,0.9998963592210541,0.9888676,1,1,1,1,0,3,0.9840324244816809,0.9633333333333334,0.9998963592210541,0.03656302588772076
screen_efcc5f2c1c1d1883ed55,69,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(Cc2ccccc2)C(=O)[C@@H](O)CO)c1,gpcrdb,1,1,0.9633333333333334,0.9998963592210541,0.9888676,1,1,1,1,0,3,0.9840324244816809,0.9633333333333334,0.9998963592210541,0.03656302588772076
screen_f62d184208caad03209e,70,COCCN(CCN1C2CCC1CC(c1cccc(C(N)=O)c1)C2)C(=O)CO,reinvent,1,2,0.9716666666666667,0.9931096567637135,0.9873122,1,1,1,1,0,3,0.9840295070385406,0.9716666666666667,0.9931096567637135,0.021442990097046866
screen_e83351827969a132e151,71,CS(=O)(=O)CC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)Cc1ccccc1,gpcrdb,1,1,0.9633333333333334,0.9978078242647376,0.99079067,1,1,1,1,0,3,0.9839772742492533,0.9633333333333334,0.9978078242647376,0.0344744909314042
screen_cf6f432b43531be579ea,72,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CCc2ccccc2)C(=O)[C@@H](O)CO)c1,gpcrdb,1,1,0.9583333333333334,0.9998197896479013,0.99085116,1,1,1,1,0,3,0.9830014289484569,0.9583333333333334,0.9998197896479013,0.04148645631456793
screen_0789a65e2f3d657e1be6,73,CCN(CC)CC[C@H](O)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9816666666666667,0.9998985698331012,0.96731466,1,1,1,1,0,3,0.9829599656829773,0.9673146605491638,0.9998985698331012,0.032583909283937396
screen_6bec18852064a36302a8,74,Cc1ccccc1C=CCN1CC(C)C2(c3cccc(O)c3)CC(NC(=O)C3(c4ccccc4)CCCC3)CC1C2,reinvent,1,2,0.9683333333333334,0.9999826405339121,0.98054355,1,1,1,1,0,3,0.9829531758988127,0.9683333333333334,0.9999826405339121,0.03164930720057868
