zinc_id,smiles
ZINC001238791710,COc1cc(F)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1Cl
ZINC001248799422,COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(OC)c1Cl
ZINC001249647646,COC(=O)c1c(Cl)cccc1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1
ZINC001250409051,Cn1c(=O)n(C2CCN(Cc3cc(O)c(Cl)c(F)c3F)CC2)c2ccccc21
ZINC001250423960,COC(=O)c1c(F)ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1F
ZINC001290115816,COc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)c(Cl)c1OC
ZINC001462033167,COC(=O)C(C)Oc1ccccc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC001462033172,COC(=O)C(C)Oc1ccccc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC001538718123,CC(=O)Nc1ccccc1C(F)(F)C(=O)N[C@H](CN1CCCC1)c1ccccc1
ZINC001596575028,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccc(C(F)(F)F)cc2)cc1
ZINC001596575030,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccc(C(F)(F)F)cc2)cc1
ZINC001618407082,COc1ccc(Br)c(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)c1
ZINC001630883794,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2cccc(OC)c2Cl)cc1
ZINC000001602370,CC(C)N(CCN1CCCCC1)c1ccccn1
ZINC000001602375,Cc1cc(C)nc(N(C)CCN2CCCCC2)c1
ZINC000005621294,COc1ccc2c3c1O[C@H]1[C@@]4(OC)C=C[C@@]5(C[C@H]4C(C)=NO)[C@@H](C2)N(C)CC[C@]315
ZINC000005621298,COc1ccc2c3c1O[C@H]1[C@@]4(OC)C=C[C@@]5(C[C@@H]4C(C)=NO)[C@@H](C2)N(C)CC[C@]315
ZINC001223018262,CN1c2ccccc2[C@@H](OC(=O)C[C@@H](O)C[N+](C)(C)C)c2ccc(Cl)cc2S1(=O)=O
ZINC001223018272,CN1c2ccccc2[C@H](OC(=O)C[C@@H](O)C[N+](C)(C)C)c2ccc(Cl)cc2S1(=O)=O
ZINC000768218732,O=c1[nH]c2ccccc2n1C1CCN(Cc2cc(Br)ccc2O)CC1
ZINC000768219424,O=c1[nH]c2ccccc2n1C1CCN(Cc2cccc(Br)c2O)CC1
ZINC000775645138,Cc1cc(Br)cc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1O
ZINC001138389812,CCN(CC)c1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(OC)c1
ZINC001140100520,O=c1[nH]c2ccccc2n1C1CCN(Cc2c(O)cccc2Br)CC1
ZINC001144293130,O=c1[nH]c2ccccc2n1C1CCN(Cc2cc(Br)c(F)cc2O)CC1
